frame,score
panic_1_frame_0000.jpg,1.0
panic_1_frame_0005.jpg,1.0
panic_1_frame_0010.jpg,1.0
panic_1_frame_0015.jpg,1.0
panic_1_frame_0020.jpg,1.0
panic_1_frame_0025.jpg,1.0
panic_1_frame_0030.jpg,1.0
panic_1_frame_0035.jpg,1.0
panic_1_frame_0040.jpg,1.0
panic_1_frame_0045.jpg,1.0
panic_1_frame_0050.jpg,1.0
panic_1_frame_0055.jpg,1.0
panic_1_frame_0060.jpg,1.0
panic_1_frame_0065.jpg,1.0
panic_1_frame_0070.jpg,1.0
panic_1_frame_0075.jpg,1.0
panic_1_frame_0080.jpg,1.0
panic_1_frame_0085.jpg,1.0
panic_1_frame_0090.jpg,1.0
panic_1_frame_0095.jpg,1.0
panic_1_frame_0100.jpg,1.0
panic_1_frame_0105.jpg,1.0
panic_1_frame_0110.jpg,1.0
panic_1_frame_0115.jpg,1.0
panic_1_frame_0120.jpg,1.0
panic_1_frame_0125.jpg,1.0
panic_1_frame_0130.jpg,1.0
panic_1_frame_0135.jpg,1.0
panic_1_frame_0140.jpg,1.0
panic_1_frame_0145.jpg,1.0
panic_1_frame_0150.jpg,1.0
panic_1_frame_0155.jpg,1.0
panic_1_frame_0160.jpg,1.0
panic_1_frame_0165.jpg,1.0
panic_1_frame_0170.jpg,1.0
panic_1_frame_0175.jpg,1.0
panic_1_frame_0180.jpg,1.0
panic_1_frame_0185.jpg,1.0
panic_1_frame_0190.jpg,1.0
panic_1_frame_0195.jpg,1.0
panic_1_frame_0200.jpg,1.0
panic_1_frame_0205.jpg,1.0
panic_1_frame_0210.jpg,1.0
panic_1_frame_0215.jpg,1.0
panic_1_frame_0220.jpg,1.0
panic_1_frame_0225.jpg,1.0
panic_1_frame_0230.jpg,1.0
panic_1_frame_0235.jpg,1.0
panic_1_frame_0240.jpg,1.0
panic_1_frame_0245.jpg,1.0
